EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,BUY_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE,SM_UPPER_LIMIT,SM_LOWER_LIMIT,
BSE,E,200072,INE813V01022,EQUITY,,MCL,MADHAV COPPER LIMITED,Madhav Copper,ES,NT,1.0,,,,1.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,66.1500,59.8500,
BSE,E,200105,INE786W01010,EQUITY,,RKEC,RKEC PROJECTS LIMITED,RKEC Projects,ES,NS,1.0,,,,1.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,34.1400,27.9400,
BSE,E,200184,INE749Y01014,EQUITY,,PARAMPARA,PARAMPARA DAIRY DLGHT LTD,Parampara Dairy Delights,ES,NT,8000.0,,,,5.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,11.5500,10.4500,
BSE,E,200223,INE702Y01013,EQUITY,,SMVD,SMVD POLY PACK LIMITED,SMVD Poly Pack,ES,NT,4040.0,,,,5.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,11.5500,10.4500,
BSE,E,200283,INE412C01023,EQUITY,,JMA,JULLUNDUR MOT AGENCY LTD,Jullundur Motor Agency,ES,NS,1.0,,,,1.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,101.1300,67.4300,
BSE,E,200306,INE129Z01016,EQUITY,,SINTERCOM,SINTERCOM INDIA LIMITED,Sintercom,ES,NS,1.0,,,,1.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,91.8400,61.2400,
BSE,E,200405,INE105Y01019,EQUITY,,MPTODAY,M P TODAY MEDIA LIMITED,Madhya Pradesh Today Media,ES,NS,2000.0,,,,5.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,45.8500,41.5500,
BSE,E,200428,INE564T01017,EQUITY,,JETKNIT,JET KNITWEARS LTD.,Jet Knitwears,ES,NT,750.0,,,,5.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,93.6500,84.7500,
BSE,E,200454,INE704V01015,EQUITY,,DIRL,DHANUKA INFRA REALTY LTD,Dhanuka Infra Realty,ES,NS,6000.0,,,,5.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,12.3000,11.2000,
BSE,E,200475,INE326T01011,EQUITY,,NIRAJISPAT,NIRAJ ISPAT IND LTD,Niraj Ispat Industries,ES,NS,1.0,,,,1.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,230.7100,208.7500,
